Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Seconds)
256x256,7,1,16,
256x256,7,1,17,
256x256,7,1,18,
256x256,7,1,19,
256x256,7,1,20,
256x256,7,1,21,
256x256,7,1,22,
256x256,7,1,23,
256x256,7,1,24,
256x256,7,1,25,
256x256,7,1,26,
256x256,7,1,27,
256x256,7,1,28,
256x256,7,1,29,
256x256,7,1,30,
256x256,7,1,31,
256x256,7,1,32,
256x256,7,1,33,
256x256,7,1,34,
256x256,7,1,35,
256x256,7,1,36,
256x256,7,1,37,
256x256,7,1,38,
256x256,7,1,39,
256x256,7,1,40,
256x256,7,1,41,
256x256,7,1,42,
256x256,7,1,43,
256x256,7,1,44,
256x256,7,1,45,
256x256,7,1,46,
256x256,7,1,47,
256x256,7,1,48,
256x256,7,1,49,
256x256,7,1,50,
256x256,7,1,51,
256x256,7,1,52,
256x256,7,1,53,
256x256,7,1,54,
256x256,7,1,55,
256x256,7,1,56,
256x256,7,1,57,
256x256,7,1,58,
256x256,7,1,59,
256x256,7,1,60,
256x256,7,1,61,
256x256,7,1,62,
256x256,7,1,63,
256x256,7,1,64,
256x256,7,1,65,
256x256,7,1,66,
256x256,7,1,67,
256x256,7,1,68,
256x256,7,1,69,
256x256,7,1,70,
256x256,7,1,71,
256x256,7,1,72,
256x256,7,1,73,
256x256,7,1,74,
256x256,7,1,75,
256x256,7,1,76,
256x256,7,1,77,
256x256,7,1,78,
256x256,7,1,79,
256x256,7,1,80,
256x256,7,1,81,
256x256,7,1,82,
256x256,7,1,83,
256x256,7,1,84,
256x256,7,1,85,
256x256,7,1,86,
256x256,7,1,87,
256x256,7,1,88,
256x256,7,1,89,
256x256,7,1,90,
256x256,7,1,91,
256x256,7,1,92,
256x256,7,1,93,
256x256,7,1,94,
256x256,7,1,95,
256x256,7,1,96,
256x256,7,1,97,
256x256,7,1,98,
256x256,7,1,99,
256x256,7,1,100,
256x256,7,2,1,
256x256,7,2,2,
256x256,7,2,3,
256x256,7,2,4,
256x256,7,2,5,
256x256,7,2,6,
256x256,7,2,7,
256x256,7,2,8,
256x256,7,2,9,
256x256,7,2,10,
256x256,7,2,11,
256x256,7,2,12,
256x256,7,2,13,
256x256,7,2,14,
256x256,7,2,15,
256x256,7,2,16,
256x256,7,2,17,
256x256,7,2,18,
256x256,7,2,19,
256x256,7,2,20,
256x256,7,2,21,
256x256,7,2,22,
256x256,7,2,23,
256x256,7,2,24,
256x256,7,2,25,
256x256,7,2,26,
256x256,7,2,27,
256x256,7,2,28,
256x256,7,2,29,
256x256,7,2,30,
256x256,7,2,31,
256x256,7,2,32,
256x256,7,2,33,
256x256,7,2,34,
256x256,7,2,35,
256x256,7,2,36,
256x256,7,2,37,
256x256,7,2,38,
256x256,7,2,39,
256x256,7,2,40,
256x256,7,2,41,
256x256,7,2,42,
256x256,7,2,43,
256x256,7,2,44,
256x256,7,2,45,
256x256,7,2,46,
256x256,7,2,47,
256x256,7,2,48,
256x256,7,2,49,
256x256,7,2,50,
256x256,7,2,51,
256x256,7,2,52,
256x256,7,2,53,
256x256,7,2,54,
256x256,7,2,55,
256x256,7,2,56,
256x256,7,2,57,
256x256,7,2,58,
256x256,7,2,59,
256x256,7,2,60,
256x256,7,2,61,
256x256,7,2,62,
256x256,7,2,63,
256x256,7,2,64,
256x256,7,2,65,
256x256,7,2,66,
256x256,7,2,67,
256x256,7,2,68,
256x256,7,2,69,
256x256,7,2,70,
256x256,7,2,71,
256x256,7,2,72,
256x256,7,2,73,
256x256,7,2,74,
256x256,7,2,75,
256x256,7,2,76,
256x256,7,2,77,
256x256,7,2,78,
256x256,7,2,79,
256x256,7,2,80,
256x256,7,2,81,
256x256,7,2,82,
256x256,7,2,83,
256x256,7,2,84,
256x256,7,2,85,
256x256,7,2,86,
256x256,7,2,87,
256x256,7,2,88,
256x256,7,2,89,
256x256,7,2,90,
256x256,7,2,91,
256x256,7,2,92,
256x256,7,2,93,
256x256,7,2,94,
256x256,7,2,95,
256x256,7,2,96,
256x256,7,2,97,
256x256,7,2,98,
256x256,7,2,99,
256x256,7,2,100,
256x256,7,4,1,
256x256,7,4,2,
256x256,7,4,3,
256x256,7,4,4,
256x256,7,4,5,
256x256,7,4,6,
256x256,7,4,7,
256x256,7,4,8,
256x256,7,4,9,
256x256,7,4,10,
256x256,7,4,11,
256x256,7,4,12,
256x256,7,4,13,
256x256,7,4,14,
256x256,7,4,15,
256x256,7,4,16,
256x256,7,4,17,
256x256,7,4,18,
256x256,7,4,19,
256x256,7,4,20,
256x256,7,4,21,
256x256,7,4,22,
256x256,7,4,23,
256x256,7,4,24,
256x256,7,4,25,
256x256,7,4,26,
256x256,7,4,27,
256x256,7,4,28,
256x256,7,4,29,
256x256,7,4,30,
256x256,7,4,31,
256x256,7,4,32,
256x256,7,4,33,
256x256,7,4,34,
256x256,7,4,35,
256x256,7,4,36,
256x256,7,4,37,
256x256,7,4,38,
256x256,7,4,39,
256x256,7,4,40,
256x256,7,4,41,
256x256,7,4,42,
256x256,7,4,43,
256x256,7,4,44,
256x256,7,4,45,
256x256,7,4,46,
256x256,7,4,47,
256x256,7,4,48,
256x256,7,4,49,
256x256,7,4,50,
256x256,7,4,51,
256x256,7,4,52,
256x256,7,4,53,
256x256,7,4,54,
256x256,7,4,55,
256x256,7,4,56,
256x256,7,4,57,
256x256,7,4,58,
256x256,7,4,59,
256x256,7,4,60,
256x256,7,4,61,
256x256,7,4,62,
256x256,7,4,63,
256x256,7,4,64,
256x256,7,4,65,
256x256,7,4,66,
256x256,7,4,67,
256x256,7,4,68,
256x256,7,4,69,
256x256,7,4,70,
256x256,7,4,71,
256x256,7,4,72,
256x256,7,4,73,
256x256,7,4,74,
256x256,7,4,75,
256x256,7,4,76,
256x256,7,4,77,
256x256,7,4,78,
256x256,7,4,79,
256x256,7,4,80,
256x256,7,4,81,
256x256,7,4,82,
256x256,7,4,83,
256x256,7,4,84,
256x256,7,4,85,
256x256,7,4,86,
256x256,7,4,87,
256x256,7,4,88,
256x256,7,4,89,
256x256,7,4,90,
256x256,7,4,91,
256x256,7,4,92,
256x256,7,4,93,
256x256,7,4,94,
256x256,7,4,95,
256x256,7,4,96,
256x256,7,4,97,
256x256,7,4,98,
256x256,7,4,99,
256x256,7,4,100,
256x256,9,1,1,
256x256,9,1,2,
256x256,9,1,3,
256x256,9,1,4,
256x256,9,1,5,
256x256,9,1,6,
256x256,9,1,7,
256x256,9,1,8,
256x256,9,1,9,
256x256,9,1,10,
256x256,9,1,11,
256x256,9,1,12,
256x256,9,1,13,
256x256,9,1,14,
256x256,9,1,15,
256x256,9,1,16,
256x256,9,1,17,
256x256,9,1,18,
256x256,9,1,19,
256x256,9,1,20,
256x256,9,1,21,
256x256,9,1,22,
256x256,9,1,23,
256x256,9,1,24,
256x256,9,1,25,
256x256,9,1,26,
256x256,9,1,27,
256x256,9,1,28,
256x256,9,1,29,
256x256,9,1,30,
256x256,9,1,31,
256x256,9,1,32,
256x256,9,1,33,
256x256,9,1,34,
256x256,9,1,35,
256x256,9,1,36,
256x256,9,1,37,
256x256,9,1,38,
256x256,9,1,39,
256x256,9,1,40,
256x256,9,1,41,
256x256,9,1,42,
256x256,9,1,43,
256x256,9,1,44,
256x256,9,1,45,
256x256,9,1,46,
256x256,9,1,47,
256x256,9,1,48,
256x256,9,1,49,
256x256,9,1,50,
256x256,9,1,51,
256x256,9,1,52,
256x256,9,1,53,
256x256,9,1,54,
256x256,9,1,55,
256x256,9,1,56,
256x256,9,1,57,
256x256,9,1,58,
256x256,9,1,59,
