Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,,
256x256,3,1,2,,
256x256,3,1,3,,
256x256,3,1,4,,
256x256,3,1,5,,
256x256,3,1,6,,
256x256,3,1,7,,
256x256,3,1,8,,
256x256,3,1,9,,
256x256,3,1,10,,
256x256,3,1,11,,
256x256,3,1,12,,
256x256,3,1,13,,
256x256,3,1,14,,
256x256,3,1,15,,
256x256,3,1,16,,
256x256,3,1,17,,
256x256,3,1,18,,
256x256,3,1,19,,
256x256,3,1,20,,
256x256,3,1,21,,
256x256,3,1,22,,
256x256,3,1,23,,
256x256,3,1,24,,
256x256,3,1,25,,
256x256,3,1,26,,
256x256,3,1,27,,
256x256,3,1,28,,
256x256,3,1,29,,
256x256,3,1,30,,
256x256,3,1,1,7173.00,Correct!
256x256,3,1,2,6703.92,Correct!
256x256,3,1,3,7486.13,Correct!
256x256,3,1,4,7228.07,Correct!
256x256,3,1,5,7275.18,Correct!
256x256,3,1,6,6751.15,Correct!
256x256,3,1,7,7499.38,Correct!
256x256,3,1,8,7367.64,Correct!
256x256,3,1,9,6800.49,Correct!
256x256,3,1,10,7428.43,Correct!
256x256,3,1,11,6962.54,Correct!
256x256,3,1,12,7530.99,Correct!
256x256,3,1,13,9196.87,Correct!
256x256,3,1,14,5669.20,Correct!
256x256,3,1,15,3864.97,Correct!
256x256,3,1,16,6630.61,Correct!
256x256,3,1,17,3862.04,Correct!
256x256,3,1,18,4240.73,Correct!
256x256,3,1,19,3914.66,Correct!
256x256,3,1,20,3731.12,Correct!
256x256,3,1,21,5491.08,Correct!
256x256,3,1,22,4041.27,Correct!
256x256,3,1,23,3862.76,Correct!
256x256,3,1,24,8993.82,Correct!
256x256,3,1,25,4011.56,Correct!
256x256,3,1,26,4349.69,Correct!
256x256,3,1,27,3913.10,Correct!
256x256,3,1,28,3879.87,Correct!
256x256,3,1,29,6379.70,Correct!
256x256,3,1,30,4279.30,Correct!
256x256,3,2,1,4689.61,Correct!
256x256,3,2,2,2278.72,Correct!
256x256,3,2,3,2325.94,Correct!
256x256,3,2,4,4139.69,Correct!
256x256,3,2,5,5919.48,Correct!
256x256,3,2,6,2818.60,Correct!
256x256,3,2,7,2355.03,Correct!
256x256,3,2,8,2234.70,Correct!
256x256,3,2,9,7447.68,Correct!
256x256,3,2,10,2270.30,Correct!
256x256,3,2,11,2728.26,Correct!
256x256,3,2,12,2390.52,Correct!
256x256,3,2,13,3590.07,Correct!
256x256,3,2,14,12624.08,Correct!
256x256,3,2,15,2437.78,Correct!
256x256,3,2,16,2767.53,Correct!
256x256,3,2,17,2580.92,Correct!
256x256,3,2,18,2434.89,Correct!
256x256,3,2,19,4937.02,Correct!
256x256,3,2,20,2609.78,Correct!
256x256,3,2,21,2228.31,Correct!
256x256,3,2,22,2389.56,Correct!
256x256,3,2,23,2857.02,Correct!
256x256,3,2,24,3521.23,Correct!
256x256,3,2,25,2281.03,Correct!
256x256,3,2,26,3441.63,Correct!
256x256,3,2,27,3640.39,Correct!
256x256,3,2,28,2584.70,Correct!
256x256,3,2,29,3806.02,Correct!
256x256,3,2,30,2270.34,Correct!
256x256,3,4,1,1460.88,Correct!
256x256,3,4,2,1946.54,Correct!
256x256,3,4,3,2933.40,Correct!
256x256,3,4,4,1745.40,Correct!
256x256,3,4,5,1682.11,Correct!
256x256,3,4,6,1515.37,Correct!
256x256,3,4,7,2425.31,Correct!
256x256,3,4,8,2482.67,Correct!
256x256,3,4,9,2507.84,Correct!
256x256,3,4,10,1669.12,Correct!
256x256,3,4,11,2154.61,Correct!
256x256,3,4,12,2789.73,Correct!
256x256,3,4,13,1651.42,Correct!
256x256,3,4,14,1891.83,Correct!
256x256,3,4,15,2580.77,Correct!
256x256,3,4,16,1568.40,Correct!
256x256,3,4,17,1726.75,Correct!
256x256,3,4,18,6636.30,Correct!
256x256,3,4,19,1762.07,Correct!
256x256,3,4,20,3175.39,Correct!
256x256,3,4,21,1666.97,Correct!
256x256,3,4,22,1614.68,Correct!
256x256,3,4,23,1965.30,Correct!
256x256,3,4,24,1667.82,Correct!
256x256,3,4,25,1458.30,Correct!
256x256,3,4,26,2052.90,Correct!
256x256,3,4,27,1544.10,Correct!
256x256,3,4,28,1583.97,Correct!
256x256,3,4,29,1908.05,Correct!
256x256,3,4,30,1660.50,Correct!
256x256,3,8,1,1324.06,Correct!
256x256,3,8,2,1833.09,Correct!
256x256,3,8,3,1362.67,Correct!
256x256,3,8,4,1784.94,Correct!
256x256,3,8,5,16168.37,Correct!
256x256,3,8,6,1318.78,Correct!
256x256,3,8,7,1798.42,Correct!
256x256,3,8,8,1326.68,Correct!
256x256,3,8,9,1231.45,Correct!
256x256,3,8,10,1853.61,Correct!
256x256,3,8,11,1462.09,Correct!
256x256,3,8,12,1291.89,Correct!
256x256,3,8,13,1492.59,Correct!
256x256,3,8,14,2333.08,Correct!
256x256,3,8,15,2054.33,Correct!
256x256,3,8,16,2108.93,Correct!
256x256,3,8,17,1620.06,Correct!
256x256,3,8,18,1694.85,Correct!
256x256,3,8,19,1625.16,Correct!
256x256,3,8,20,1256.82,Correct!
256x256,3,8,21,1552.82,Correct!
256x256,3,8,22,1509.19,Correct!
256x256,3,8,23,1305.51,Correct!
256x256,3,8,24,2155.07,Correct!
256x256,3,8,25,1715.75,Correct!
256x256,3,8,26,1634.70,Correct!
256x256,3,8,27,2084.54,Correct!
256x256,3,8,28,1284.38,Correct!
256x256,3,8,29,2101.13,Correct!
256x256,3,8,30,1480.50,Correct!
256x256,3,16,1,2095.43,Correct!
256x256,3,16,2,2292.89,Correct!
256x256,3,16,3,2966.44,Correct!
256x256,3,16,4,2305.40,Correct!
256x256,3,16,5,3002.82,Correct!
256x256,3,16,6,2342.59,Correct!
256x256,3,16,7,2589.42,Correct!
256x256,3,16,8,2167.90,Correct!
256x256,3,16,9,2358.45,Correct!
256x256,3,16,10,2912.00,Correct!
256x256,3,16,11,2367.30,Correct!
256x256,3,16,12,2647.30,Correct!
256x256,3,16,13,2843.38,Correct!
256x256,3,16,14,2352.87,Correct!
256x256,3,16,15,2949.09,Correct!
256x256,3,16,16,2286.80,Correct!
256x256,3,16,17,2804.05,Correct!
256x256,3,16,18,2347.82,Correct!
256x256,3,16,19,3105.35,Correct!
256x256,3,16,20,2348.15,Correct!
256x256,3,16,21,3122.60,Correct!
256x256,3,16,22,3593.66,Correct!
256x256,3,16,23,1637.12,Correct!
256x256,3,16,24,2959.88,Correct!
256x256,3,16,25,2309.90,Correct!
256x256,3,16,26,2847.52,Correct!
256x256,3,16,27,2868.49,Correct!
256x256,3,16,28,3441.36,Correct!
256x256,3,16,29,2557.88,Correct!
256x256,3,16,30,1700.18,Correct!
256x256,3,32,1,2412.00,Correct!
256x256,3,32,2,7101.16,Correct!
256x256,3,32,3,1899.50,Correct!
256x256,3,32,4,3092.05,Correct!
256x256,3,32,5,2211.31,Correct!
256x256,3,32,6,1804.24,Correct!
256x256,3,32,7,2973.51,Correct!
256x256,3,32,8,2348.38,Correct!
256x256,3,32,9,2019.55,Correct!
256x256,3,32,10,2172.24,Correct!
256x256,3,32,11,1955.20,Correct!
256x256,3,32,12,3814.16,Correct!
256x256,3,32,13,2197.05,Correct!
256x256,3,32,14,1826.81,Correct!
256x256,3,32,15,9911.54,Correct!
256x256,3,32,16,1907.94,Correct!
256x256,3,32,17,3562.70,Correct!
256x256,3,32,18,3225.28,Correct!
256x256,3,32,19,2473.35,Correct!
256x256,3,32,20,2324.98,Correct!
256x256,3,32,21,3335.17,Correct!
256x256,3,32,22,2366.06,Correct!
256x256,3,32,23,1869.73,Correct!
256x256,3,32,24,4560.13,Correct!
256x256,3,32,25,3029.20,Correct!
256x256,3,32,26,12963.90,Correct!
256x256,3,32,27,1774.68,Correct!
256x256,3,32,28,2695.84,Correct!
256x256,3,32,29,2159.53,Correct!
256x256,3,32,30,3947.94,Correct!
256x256,5,1,1,,
256x256,5,1,2,,
256x256,5,1,3,,
256x256,5,1,4,,
256x256,5,1,5,,
256x256,5,1,6,,
256x256,5,1,7,,
256x256,5,1,8,,
256x256,5,1,9,,
256x256,5,1,10,,
256x256,5,1,11,,
256x256,5,1,12,,
256x256,5,1,13,,
256x256,5,1,14,,
256x256,5,1,15,,
256x256,5,1,16,,
256x256,5,1,17,,
256x256,5,1,18,,
256x256,5,1,19,,
256x256,5,1,20,,
256x256,5,1,21,,
256x256,5,1,22,,
256x256,5,1,23,,
256x256,5,1,24,,
256x256,5,1,25,,
256x256,5,1,26,,
256x256,5,1,27,,
256x256,5,1,28,,
256x256,5,1,29,,
256x256,5,1,30,,
256x256,5,1,1,9237.21,Correct!
256x256,5,1,2,13128.71,Correct!
256x256,5,1,3,9243.29,Correct!
256x256,5,1,4,9262.28,Correct!
256x256,5,1,5,13125.46,Correct!
256x256,5,1,6,12150.39,Correct!
256x256,5,1,7,11693.75,Correct!
256x256,5,1,8,10664.94,Correct!
256x256,5,1,9,9214.82,Correct!
256x256,5,1,10,15141.26,Correct!
256x256,5,1,11,15132.36,Correct!
256x256,5,1,12,14666.57,Correct!
256x256,5,1,13,14934.84,Correct!
256x256,5,1,14,13853.58,Correct!
256x256,5,1,15,14439.23,Correct!
256x256,5,1,16,15344.89,Correct!
256x256,5,1,17,13746.54,Correct!
256x256,5,1,18,12042.61,Correct!
256x256,5,1,19,11253.86,Correct!
256x256,5,1,20,12776.13,Correct!
256x256,5,1,21,14841.77,Correct!
256x256,5,1,22,14440.66,Correct!
256x256,5,1,23,14368.38,Correct!
256x256,5,1,24,13535.26,Correct!
256x256,5,1,25,13896.59,Correct!
256x256,5,1,26,15017.64,Correct!
256x256,5,1,27,14650.12,Correct!
256x256,5,1,28,15724.51,Correct!
256x256,5,1,29,13173.55,Correct!
256x256,5,1,30,18396.90,Correct!
256x256,5,2,1,13099.56,Correct!
256x256,5,2,2,4032.92,Correct!
256x256,5,2,3,7498.33,Correct!
256x256,5,2,4,5060.58,Correct!
256x256,5,2,5,5921.26,Correct!
256x256,5,2,6,9196.72,Correct!
256x256,5,2,7,4876.80,Correct!
256x256,5,2,8,7132.80,Correct!
256x256,5,2,9,4956.43,Correct!
256x256,5,2,10,11916.44,Correct!
256x256,5,2,11,4987.56,Correct!
256x256,5,2,12,10561.80,Correct!
256x256,5,2,13,4938.32,Correct!
256x256,5,2,14,18267.07,Correct!
256x256,5,2,15,4905.14,Correct!
256x256,5,2,16,7221.58,Correct!
256x256,5,2,17,4946.02,Correct!
256x256,5,2,18,7642.94,Correct!
256x256,5,2,19,5292.18,Correct!
256x256,5,2,20,5010.82,Correct!
256x256,5,2,21,9233.33,Correct!
256x256,5,2,22,5172.61,Correct!
256x256,5,2,23,5478.42,Correct!
256x256,5,2,24,5001.91,Correct!
256x256,5,2,25,7305.12,Correct!
256x256,5,2,26,8984.30,Correct!
256x256,5,2,27,5650.54,Correct!
256x256,5,2,28,5083.72,Correct!
256x256,5,2,29,5942.61,Correct!
256x256,5,2,30,8211.77,Correct!
256x256,5,4,1,3201.74,Correct!
256x256,5,4,2,6847.88,Correct!
256x256,5,4,3,2935.79,Correct!
256x256,5,4,4,3162.40,Correct!
256x256,5,4,5,6484.98,Correct!
256x256,5,4,6,2464.50,Correct!
256x256,5,4,7,3442.76,Correct!
256x256,5,4,8,2984.93,Correct!
256x256,5,4,9,2805.48,Correct!
256x256,5,4,10,4351.36,Correct!
256x256,5,4,11,2945.31,Correct!
256x256,5,4,12,2894.56,Correct!
256x256,5,4,13,3632.24,Correct!
256x256,5,4,14,2995.38,Correct!
256x256,5,4,15,3595.15,Correct!
256x256,5,4,16,12680.79,Correct!
256x256,5,4,17,4294.52,Correct!
256x256,5,4,18,3797.72,Correct!
256x256,5,4,19,2964.40,Correct!
256x256,5,4,20,2806.83,Correct!
256x256,5,4,21,16772.00,Correct!
256x256,5,4,22,2941.76,Correct!
256x256,5,4,23,4351.43,Correct!
256x256,5,4,24,2882.87,Correct!
256x256,5,4,25,3566.18,Correct!
256x256,5,4,26,4400.89,Correct!
256x256,5,4,27,2903.11,Correct!
256x256,5,4,28,3008.75,Correct!
256x256,5,4,29,12164.94,Correct!
256x256,5,4,30,3820.73,Correct!
256x256,5,8,1,13284.82,Correct!
256x256,5,8,2,2133.32,Correct!
256x256,5,8,3,3222.56,Correct!
256x256,5,8,4,1863.79,Correct!
256x256,5,8,5,2016.33,Correct!
256x256,5,8,6,2944.32,Correct!
256x256,5,8,7,2953.40,Correct!
256x256,5,8,8,2077.53,Correct!
256x256,5,8,9,3341.36,Correct!
256x256,5,8,10,1736.74,Correct!
256x256,5,8,11,8643.89,Correct!
256x256,5,8,12,3326.24,Correct!
256x256,5,8,13,2622.64,Correct!
256x256,5,8,14,2970.71,Correct!
256x256,5,8,15,2578.60,Correct!
256x256,5,8,16,4615.35,Correct!
256x256,5,8,17,4314.09,Correct!
256x256,5,8,18,3809.02,Correct!
256x256,5,8,19,4328.79,Correct!
256x256,5,8,20,3865.75,Correct!
256x256,5,8,21,4313.67,Correct!
256x256,5,8,22,3703.06,Correct!
256x256,5,8,23,5258.86,Correct!
256x256,5,8,24,3541.47,Correct!
256x256,5,8,25,5334.26,Correct!
256x256,5,8,26,3017.63,Correct!
256x256,5,8,27,5498.35,Correct!
256x256,5,8,28,4406.06,Correct!
256x256,5,8,29,5612.71,Correct!
256x256,5,8,30,3619.12,Correct!
256x256,5,16,1,3103.29,Correct!
256x256,5,16,2,4230.18,Correct!
256x256,5,16,3,2818.15,Correct!
256x256,5,16,4,4397.14,Correct!
256x256,5,16,5,3302.68,Correct!
256x256,5,16,6,4412.57,Correct!
256x256,5,16,7,3440.40,Correct!
256x256,5,16,8,4198.80,Correct!
256x256,5,16,9,2735.64,Correct!
256x256,5,16,10,3874.90,Correct!
256x256,5,16,11,2456.86,Correct!
256x256,5,16,12,4792.32,Correct!
256x256,5,16,13,2868.25,Correct!
256x256,5,16,14,3681.50,Correct!
256x256,5,16,15,1970.79,Correct!
256x256,5,16,16,3144.77,Correct!
256x256,5,16,17,2164.52,Correct!
256x256,5,16,18,1814.30,Correct!
256x256,5,16,19,2770.55,Correct!
256x256,5,16,20,1863.23,Correct!
256x256,5,16,21,3837.66,Correct!
256x256,5,16,22,2339.80,Correct!
256x256,5,16,23,2274.66,Correct!
256x256,5,16,24,2058.61,Correct!
256x256,5,16,25,1651.50,Correct!
256x256,5,16,26,3234.27,Correct!
256x256,5,16,27,2274.80,Correct!
256x256,5,16,28,1719.12,Correct!
256x256,5,16,29,2277.68,Correct!
256x256,5,16,30,1880.22,Correct!
256x256,5,32,1,3873.34,Correct!
256x256,5,32,2,2018.52,Correct!
256x256,5,32,3,3956.91,Correct!
256x256,5,32,4,2556.89,Correct!
256x256,5,32,5,1911.10,Correct!
256x256,5,32,6,3676.57,Correct!
256x256,5,32,7,2553.49,Correct!
256x256,5,32,8,3279.21,Correct!
256x256,5,32,9,2568.20,Correct!
256x256,5,32,10,2029.14,Correct!
256x256,5,32,11,20069.02,Correct!
256x256,5,32,12,1539.15,Correct!
256x256,5,32,13,3246.39,Correct!
256x256,5,32,14,2555.74,Correct!
256x256,5,32,15,2062.04,Correct!
256x256,5,32,16,13578.73,Correct!
256x256,5,32,17,2051.62,Correct!
256x256,5,32,18,3320.77,Correct!
256x256,5,32,19,2083.09,Correct!
256x256,5,32,20,2649.53,Correct!
256x256,5,32,21,10063.01,Correct!
256x256,5,32,22,2143.07,Correct!
256x256,5,32,23,3286.38,Correct!
256x256,5,32,24,2651.04,Correct!
256x256,5,32,25,4156.70,Correct!
256x256,5,32,26,2559.10,Correct!
256x256,5,32,27,1952.04,Correct!
256x256,5,32,28,3921.68,Correct!
256x256,5,32,29,3193.19,Correct!
256x256,5,32,30,6216.09,Correct!
256x256,7,1,1,,
256x256,7,1,2,,
256x256,7,1,3,,
256x256,7,1,4,,
256x256,7,1,5,,
256x256,7,1,6,,
256x256,7,1,7,,
256x256,7,1,8,,
256x256,7,1,9,,
256x256,7,1,10,,
256x256,7,1,11,,
256x256,7,1,12,,
256x256,7,1,13,,
256x256,7,1,14,,
256x256,7,1,15,,
256x256,7,1,16,,
256x256,7,1,17,,
256x256,7,1,18,,
256x256,7,1,19,,
256x256,7,1,20,,
256x256,7,1,21,,
256x256,7,1,22,,
256x256,7,1,23,,
256x256,7,1,24,,
256x256,7,1,25,,
256x256,7,1,26,,
256x256,7,1,27,,
256x256,7,1,28,,
256x256,7,1,29,,
256x256,7,1,30,,
256x256,7,1,1,17423.84,Correct!
256x256,7,1,2,30637.67,Correct!
256x256,7,1,3,25956.03,Correct!
256x256,7,1,4,17018.23,Correct!
256x256,7,1,5,17828.28,Correct!
256x256,7,1,6,18578.72,Correct!
256x256,7,1,7,17714.09,Correct!
256x256,7,1,8,16998.76,Correct!
256x256,7,1,9,21460.68,Correct!
256x256,7,1,10,17002.56,Correct!
256x256,7,1,11,22173.65,Correct!
256x256,7,1,12,16963.33,Correct!
256x256,7,1,13,24558.19,Correct!
256x256,7,1,14,23685.15,Correct!
256x256,7,1,15,17144.89,Correct!
256x256,7,1,16,23535.35,Correct!
256x256,7,1,17,24076.02,Correct!
256x256,7,1,18,16998.89,Correct!
256x256,7,1,19,21376.72,Correct!
256x256,7,1,20,24986.24,Correct!
256x256,7,1,21,18737.28,Correct!
256x256,7,1,22,16990.71,Correct!
256x256,7,1,23,24197.70,Correct!
256x256,7,1,24,17944.93,Correct!
256x256,7,1,25,23206.56,Correct!
256x256,7,1,26,21645.13,Correct!
256x256,7,1,27,22586.19,Correct!
256x256,7,1,28,19100.54,Correct!
256x256,7,1,29,23713.41,Correct!
256x256,7,1,30,19413.96,Correct!
256x256,7,2,1,14743.96,Correct!
256x256,7,2,2,10546.62,Correct!
256x256,7,2,3,14110.70,Correct!
256x256,7,2,4,16302.47,Correct!
256x256,7,2,5,13224.48,Correct!
256x256,7,2,6,16593.65,Correct!
256x256,7,2,7,14005.26,Correct!
256x256,7,2,8,15216.86,Correct!
256x256,7,2,9,8931.43,Correct!
256x256,7,2,10,9143.63,Correct!
256x256,7,2,11,8883.16,Correct!
256x256,7,2,12,14740.87,Correct!
256x256,7,2,13,8825.00,Correct!
256x256,7,2,14,19145.79,Correct!
256x256,7,2,15,9484.80,Correct!
256x256,7,2,16,20586.15,Correct!
256x256,7,2,17,9342.62,Correct!
256x256,7,2,18,19095.19,Correct!
256x256,7,2,19,10196.66,Correct!
256x256,7,2,20,13556.96,Correct!
256x256,7,2,21,11541.15,Correct!
256x256,7,2,22,9246.75,Correct!
256x256,7,2,23,9256.66,Correct!
256x256,7,2,24,17470.13,Correct!
256x256,7,2,25,9450.52,Correct!
256x256,7,2,26,16436.20,Correct!
256x256,7,2,27,13081.44,Correct!
256x256,7,2,28,14611.24,Correct!
256x256,7,2,29,8967.07,Correct!
256x256,7,2,30,18513.47,Correct!
256x256,7,4,1,5292.62,Correct!
256x256,7,4,2,10964.70,Correct!
256x256,7,4,3,7954.11,Correct!
256x256,7,4,4,5095.06,Correct!
256x256,7,4,5,7233.79,Correct!
256x256,7,4,6,5243.13,Correct!
256x256,7,4,7,8122.74,Correct!
256x256,7,4,8,10996.68,Correct!
256x256,7,4,9,9466.80,Correct!
256x256,7,4,10,4992.95,Correct!
256x256,7,4,11,5052.30,Correct!
256x256,7,4,12,4866.06,Correct!
256x256,7,4,13,6767.06,Correct!
256x256,7,4,14,4877.30,Correct!
256x256,7,4,15,4770.26,Correct!
256x256,7,4,16,8446.49,Correct!
256x256,7,4,17,8364.36,Correct!
256x256,7,4,18,4922.35,Correct!
256x256,7,4,19,6197.71,Correct!
256x256,7,4,20,7159.33,Correct!
256x256,7,4,21,5138.71,Correct!
256x256,7,4,22,7280.59,Correct!
256x256,7,4,23,4961.17,Correct!
256x256,7,4,24,4966.40,Correct!
256x256,7,4,25,18663.73,Correct!
256x256,7,4,26,4735.84,Correct!
256x256,7,4,27,12309.72,Correct!
256x256,7,4,28,4975.39,Correct!
256x256,7,4,29,7593.01,Correct!
256x256,7,4,30,4969.95,Correct!
256x256,7,8,1,2993.88,Correct!
256x256,7,8,2,8803.28,Correct!
256x256,7,8,3,3208.23,Correct!
256x256,7,8,4,3476.32,Correct!
256x256,7,8,5,5535.54,Correct!
256x256,7,8,6,7236.32,Correct!
256x256,7,8,7,6021.99,Correct!
256x256,7,8,8,8903.10,Correct!
256x256,7,8,9,6449.46,Correct!
256x256,7,8,10,5859.55,Correct!
256x256,7,8,11,9101.83,Correct!
256x256,7,8,12,6267.10,Correct!
256x256,7,8,13,8769.45,Correct!
256x256,7,8,14,8043.52,Correct!
256x256,7,8,15,5745.56,Correct!
256x256,7,8,16,8478.90,Correct!
256x256,7,8,17,6853.50,Correct!
256x256,7,8,18,5456.93,Correct!
256x256,7,8,19,8843.98,Correct!
256x256,7,8,20,6151.75,Correct!
256x256,7,8,21,8658.95,Correct!
256x256,7,8,22,6558.50,Correct!
256x256,7,8,23,7412.13,Correct!
256x256,7,8,24,6109.29,Correct!
256x256,7,8,25,5775.11,Correct!
256x256,7,8,26,6816.06,Correct!
256x256,7,8,27,6834.99,Correct!
256x256,7,8,28,7110.90,Correct!
256x256,7,8,29,6459.52,Correct!
256x256,7,8,30,5356.48,Correct!
256x256,7,16,1,16427.51,Correct!
256x256,7,16,2,3133.17,Correct!
256x256,7,16,3,2247.02,Correct!
256x256,7,16,4,3978.82,Correct!
256x256,7,16,5,2627.06,Correct!
256x256,7,16,6,3715.32,Correct!
256x256,7,16,7,4244.08,Correct!
256x256,7,16,8,3532.47,Correct!
256x256,7,16,9,3226.70,Correct!
256x256,7,16,10,2229.59,Correct!
256x256,7,16,11,5952.73,Correct!
256x256,7,16,12,2260.24,Correct!
256x256,7,16,13,3165.43,Correct!
256x256,7,16,14,3684.47,Correct!
256x256,7,16,15,2240.31,Correct!
256x256,7,16,16,4167.29,Correct!
256x256,7,16,17,3211.95,Correct!
256x256,7,16,18,4003.27,Correct!
256x256,7,16,19,3143.86,Correct!
256x256,7,16,20,4547.78,Correct!
256x256,7,16,21,4203.77,Correct!
256x256,7,16,22,4008.27,Correct!
256x256,7,16,23,2819.68,Correct!
256x256,7,16,24,2151.09,Correct!
256x256,7,16,25,3069.68,Correct!
256x256,7,16,26,2879.34,Correct!
256x256,7,16,27,4227.98,Correct!
256x256,7,16,28,3082.20,Correct!
256x256,7,16,29,2238.33,Correct!
256x256,7,16,30,7169.21,Correct!
256x256,7,32,1,2867.37,Correct!
256x256,7,32,2,4205.22,Correct!
256x256,7,32,3,2778.13,Correct!
256x256,7,32,4,2287.31,Correct!
256x256,7,32,5,4270.30,Correct!
256x256,7,32,6,2973.05,Correct!
256x256,7,32,7,4121.36,Correct!
256x256,7,32,8,2815.94,Correct!
256x256,7,32,9,2276.01,Correct!
256x256,7,32,10,3595.29,Correct!
256x256,7,32,11,2618.25,Correct!
256x256,7,32,12,2347.02,Correct!
256x256,7,32,13,6325.52,Correct!
256x256,7,32,14,2409.17,Correct!
256x256,7,32,15,5537.90,Correct!
256x256,7,32,16,3023.66,Correct!
256x256,7,32,17,2059.14,Correct!
256x256,7,32,18,3706.74,Correct!
256x256,7,32,19,3057.89,Correct!
256x256,7,32,20,4272.05,Correct!
256x256,7,32,21,2903.22,Correct!
256x256,7,32,22,2070.69,Correct!
256x256,7,32,23,3111.86,Correct!
256x256,7,32,24,2288.71,Correct!
256x256,7,32,25,3447.96,Correct!
256x256,7,32,26,2864.94,Correct!
256x256,7,32,27,3797.54,Correct!
256x256,7,32,28,3466.50,Correct!
